Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"S1",,B3F-10XX,B3F-1000,Omron,DK,SW400-ND,SWITCH TACTILE SPST-NO 0.05A 24V,TH,REF13
2,"C15, C30",.1uf,C0603K,CC0603KRX7R8BB104,Yageo,DK,311-1341-1-ND,CAP CER 0.1UF 25V 10% X7R 0603,0603,REF14
1,"L1",2.2uH,BOURNS_SRP2010,SRP2010-2R2M,Bourns,DK,SRP2010-2R2MTR-ND,FIXED IND 2.2UH 1.7A 150MOHM SMD,0806,REF466
12,"R6, R7, R9, R12, R14, R15, R17, R18, R20, R21, R23, R56",2M,R0603,RMCF0603FT2M00,Stackpole,DK,RMCF0603FT2M00TR-ND,RES 2M OHM 1% 1/10W 0603,0603,REF468
2,"R24, R25",2k,R0603,ERJ-PA3F2001V,Panasonic,DK,P2.00KBYCT-ND,RES SMD 2K OHM 1% 1/4W 0603,0603,REF247
1,"J1",4P-2.0,HW4-2.0,110990030,Seeed,MO,713-110990030,Seeed Studio Accessories Grove - Universal 4 pin connector,TH,REF471
7,"R1, R2, R8, R13, R16, R19, R22",10k,R0603,ESR03EZPF1002,Rohm,DK,RHM10KADCT-ND,RES 10K OHM 1/4W 1% 0603 SMD,0603,REF106
10,"C21, C22, C23, C24, C25, C26, C27, C29, C31, C32",10uf,C1206K,TMK316F106ZL-T,Taiyo,DK,587-1353-1-ND,CAP CER 10UF 25V Y5V 1206,1206,REF180
1,"C20",22pf,C0603,CC0603JRNPO9BN220,Yageo,DK,311-1062-1-ND,CAP CER 22PF 50V 5% NPO 0603,0603,REF21
1,"C16",22uf,PANASONIC_D,EEE-1CA220NP,Panasonic,DK,PCE4306CT-ND,CAP ALUM 22UF 20% 16V SMD Bipolar,PANASONIC_C,REF387
7,"R27, R29, R30, R31, R32, R33, R34",47R,R0603,RC0603JR-0747RL,Yageo,DK,311-47GRCT-ND,RES SMD 47 OHM 5% 1/10W 0603,0603,REF314
6,"R5, R93, R94, R95, R96, R97",47k,R0603,ESR03EZPJ473,Rohm,DK,RHM47KDCT-ND,RES 47K OHM 1/4W 5% 0603 SMD,0603,REF117
1,"R3",560R,R0603,ESR03EZPF5600,Rohm,DK,RHM560ADCT-ND,RES 560 OHM 1/4W 1% 0603 SMD,0603,REF128
1,"X1",2516-,PAK100/2500-16,SBH11-PBPC-D08-ST-BK,Sullins,DK,S9171-ND,16 Positions Shrouded Header .100" Dual,TH,REF246
1,"J2",105162-0001,105162-0001,105162-0001,Molex,MO,538-105162-0001,Memory Card Connectors 1.45H MICRO SD HEADER WITH D/C PIN,SMD,REF465
6,"U3, U4, U5, U6, U7, U8",ES_DAISY_SEED_DOUBLE,ES_DAISY_SEED_DOUBLE,4840-6004-CP,3M,DK,3M5483-ND,40 (2 x 20) Pos DIP, 0.6" (15.24mm) Row Spacing Socket Tin Through Hole,TH,REF470
1,"U1",OPA1611AID,SOIC127P599X175-8N,OPA1611AID,TI,DK,296-24958-5-ND,Audio Amplifier 1 Circuit 8-SOIC,8-SOIC,REF469
1,"JP12",PINHD-1X2,1X02,*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,REF2
1,"PS1",UWE1215S-3WR3,CONV_UWE1215S-3WR3,UWE1215S-3WR3,Mornsun,DK,2725-UWE1215S-3WR3-ND,Isolated Module DC DC Converter 2 Output 15V -15V 100mA, 100mA 4.5V - 36V Input,TH,REF467
